epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,22465.6,1.03746,0.70871,1.12199,0.79076,0.71965,0.78943,0.47473,1.30335,0.91978,1.26516,0.000360766,0.000360766,0.000360766
90,22718.6,1.04742,0.71242,1.12612,0.78852,0.71955,0.78893,0.47453,1.30398,0.91919,1.2658,0.000305301,0.000305301,0.000305301
91,22970.2,1.00167,0.58676,1.08304,0.78736,0.71933,0.78895,0.47462,1.3042,0.91793,1.26578,0.000254473,0.000254473,0.000254473
92,23220.3,0.97381,0.55053,1.06974,0.7895,0.71902,0.78897,0.47457,1.30485,0.91742,1.2659,0.000208333,0.000208333,0.000208333
93,23470.2,0.96811,0.5482,1.06762,0.78813,0.71955,0.78872,0.47424,1.30594,0.91732,1.26661,0.000166927,0.000166927,0.000166927
94,23720.9,0.96015,0.54119,1.06309,0.78781,0.72069,0.78884,0.47423,1.30723,0.91705,1.26798,0.000130296,0.000130296,0.000130296
95,23970.5,0.95778,0.53514,1.06202,0.78714,0.72003,0.78894,0.47364,1.30797,0.9181,1.2691,9.84752e-05,9.84752e-05,9.84752e-05
96,24220.6,0.95793,0.53465,1.0602,0.78497,0.72444,0.78877,0.47368,1.30909,0.91776,1.27024,7.14967e-05,7.14967e-05,7.14967e-05
97,24470.3,0.95706,0.5329,1.05895,0.78301,0.72493,0.78886,0.47392,1.30975,0.91872,1.27112,4.93871e-05,4.93871e-05,4.93871e-05
98,24720.8,0.9479,0.5283,1.05942,0.78131,0.72704,0.78933,0.47386,1.31132,0.91926,1.27276,3.2168e-05,3.2168e-05,3.2168e-05
99,24970.8,0.94769,0.52846,1.05714,0.78109,0.72685,0.78857,0.47375,1.31203,0.92033,1.27379,1.98565e-05,1.98565e-05,1.98565e-05
100,25220.7,0.95019,0.53304,1.05773,0.78163,0.72488,0.78825,0.47311,1.31345,0.9208,1.2753,1.24647e-05,1.24647e-05,1.24647e-05
